<<<<<<< HEAD
Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2019-08-10 19:00:00,12711,(H) Brest,(V) Toulouse,1,1,2.32973,1.42777,10,9.6758,10,9.9013,10,9.4503
2019-08-18 14:00:00,12726,(V) Brest,(H) Saint-Etienne,1,1,0.501067,2.21564,9.6758,10.0986,9.9013,9.8955,9.4503,10.3017
2019-08-24 19:00:00,12738,(H) Brest,(V) Reims,1,0,0.528162,0.792044,10.0986,10.5365,9.8955,10.0175,10.3017,10.8056
2019-08-31 18:00:00,12746,(V) Brest,(H) Nimes,0,3,0.8598,2.334,10.5365,9.7163,10.0175,9.5787,10.8056,10.3539
2019-09-14 18:00:00,12752,(H) Brest,(V) Rennes,0,0,0.388148,0.424593,9.7163,9.8886,9.5787,9.7419,10.3539,10.5353
2019-09-21 18:00:00,12762,(V) Brest,(H) Bordeaux,2,2,1.38448,1.56441,9.8886,10.3897,9.7419,10.1980,10.5353,11.0814
2019-09-25 17:00:00,12770,(H) Brest,(V) Lyon,2,2,0.507427,1.12904,10.3897,10.5402,10.198,10.1931,11.0814,11.3873
2019-09-28 18:00:00,12782,(V) Brest,(H) Monaco,1,4,0.395322,3.77849,10.5402,9.7106,10.1931,9.2677,11.3873,11.4035
2019-10-05 19:00:00,12796,(H) Brest,(V) Metz,2,0,1.09035,0.537656,9.7106,9.7117,9.2677,8.9069,11.4035,11.2664
2019-10-19 19:00:00,12800,(V) Brest,(H) Angers,1,0,0.240686,1.49766,9.7117,10.4144,8.9069,9.0454,11.2664,12.2834
2019-10-26 19:00:00,12812,(H) Brest,(V) Dijon,2,0,2.10109,0.950504,10.4144,10.9215,9.0454,9.3401,12.2834,12.5029
2019-11-02 19:00:00,12827,(V) Brest,(H) Amiens,0,1,0.734059,1.37004,10.9215,10.8228,9.3401,9.3324,12.5029,12.5632
2019-11-09 16:30:00,12835,(H) Brest,(V) Paris Saint Germain,1,2,1.13488,2.54466,10.8228,10.9081,9.3324,9.3152,12.5632,13.0009
2019-11-23 19:00:00,12842,(H) Brest,(V) Nantes,1,1,0.565279,1.50416,10.9081,10.4651,9.3152,8.6375,13.0009,12.7926
2019-11-29 19:00:00,12855,(V) Brest,(H) Marseille,1,2,0.692625,4.52731,10.4651,10.0998,8.6375,7.5635,12.7926,13.3859
2019-12-03 18:00:00,12866,(H) Brest,(V) Strasbourg,5,0,2.23505,0.775747,10.0998,11.4754,7.5635,8.0539,13.3859,14.3966
2019-12-06 18:00:00,12878,(V) Brest,(H) Lille,0,1,0.261931,2.53737,11.4754,11.4367,8.0539,7.6964,14.3966,14.9268
2019-12-14 19:00:00,12888,(H) Brest,(V) Nice,0,0,2.53255,1.13522,11.4367,10.8975,7.6964,7.5066,14.9268,14.0383
2019-12-21 19:45:00,12889,(V) Brest,(H) Montpellier,0,4,0.751773,2.2249,10.8975,9.8795,7.5066,7.1203,14.0383,13.3886
2020-01-11 19:00:00,12899,(V) Brest,(H) Toulouse,5,2,1.95386,1.45157,9.8795,10.2096,7.1203,6.8260,13.3886,13.5932
2020-01-25 19:00:00,12909,(H) Brest,(V) Amiens,2,1,0.805902,1.00169,10.2096,10.1474,6.826,6.4649,13.5932,13.5800
2020-02-01 19:00:00,12921,(V) Brest,(H) Dijon,0,3,1.31151,1.30207,10.1474,9.4274,6.4649,6.4972,13.58,12.8576
2020-02-05 18:00:00,12938,(H) Brest,(V) Bordeaux,1,1,1.81834,1.09016,9.4274,9.2932,6.4972,6.5451,12.8576,12.5414
