Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-16 15:00:00,4754,West Ham,Tottenham,0,1,10,9.6250,10,10.0840,10,9.4160
2014-08-23 15:00:00,4761,West Ham,Crystal Palace,3,1,9.625,10.2500,10.084,10.3896,9.416,9.8604
2014-08-30 15:00:00,4774,West Ham,Southampton,1,3,10.25,9.6875,10.3896,10.0921,9.8604,9.5329
2014-09-15 20:00:00,4728,West Ham,Hull,2,2,9.6875,9.8125,10.0921,10.2727,9.5329,9.6023
2014-09-20 17:30:00,4734,West Ham,Liverpool,3,1,9.8125,10.4375,10.2727,10.6182,9.6023,10.0068
2014-09-27 15:00:00,4740,West Ham,Manchester United,1,2,10.4375,10.4688,10.6182,11.0880,10.0068,9.8495
2014-10-05 16:15:00,4698,West Ham,Queens Park Rangers,2,0,10.4688,10.3829,11.088,10.7378,9.8495,9.5278
2014-10-18 15:00:00,4701,West Ham,Burnley,3,1,10.3829,10.4766,10.7378,10.6059,9.5278,9.3472
2014-10-25 12:45:00,4709,West Ham,Manchester City,2,1,10.4766,10.8819,10.6059,10.9517,9.3472,9.5619
2014-11-01 15:00:00,4650,West Ham,Stoke,2,2,10.8819,10.7579,10.9517,10.1925,9.5619,10.0731
2014-11-08 15:00:00,4662,West Ham,Aston Villa,0,0,10.7579,9.9522,10.1925,9.6163,10.0731,9.0380
2014-11-22 15:00:00,4673,West Ham,Everton,1,2,9.9522,9.7149,9.6163,9.4522,9.038,8.9774
2014-11-29 15:00:00,4680,West Ham,Newcastle United,1,0,9.7149,10.1078,9.4522,9.8085,8.9774,9.1570
2014-12-02 20:00:00,4594,West Ham,West Bromwich Albion,2,1,10.1078,10.3958,9.8085,9.8043,9.157,9.4872
2014-12-07 13:30:00,4606,West Ham,Swansea,3,1,10.3958,10.7855,9.8043,9.9732,9.4872,9.5976
2014-12-13 15:00:00,4613,West Ham,Sunderland,1,1,10.7855,10.6090,9.9732,9.6804,9.5976,9.5375
2014-12-20 15:00:00,4620,West Ham,Leicester,2,0,10.609,10.4623,9.6804,9.2315,9.5375,9.1929
2014-12-26 12:45:00,4629,West Ham,Chelsea,0,2,10.4623,10.1455,9.2315,8.6376,9.1929,9.6531
2014-12-28 15:00:00,4645,West Ham,Arsenal,1,2,10.1455,9.8517,8.6376,8.0312,9.6531,9.9219
2015-01-01 15:00:00,4556,West Ham,West Bromwich Albion,1,1,9.8517,9.5470,8.0312,7.7298,9.9219,9.6139
2015-01-10 15:00:00,4562,West Ham,Swansea,1,1,9.547,9.5110,7.7298,7.4892,9.6139,9.7824
2015-01-18 13:30:00,4578,West Ham,Hull,3,0,9.511,10.1706,7.4892,7.9644,9.7824,9.8763
2015-01-31 15:00:00,4582,West Ham,Liverpool,0,2,10.1706,10.0145,7.9644,7.8335,9.8763,10.1949
2015-02-08 16:15:00,4524,West Ham,Manchester United,1,1,10.0145,10.0518,7.8335,7.7838,10.1949,10.3193
2015-02-11 19:45:00,4532,West Ham,Southampton,0,0,10.0518,10.3278,7.7838,7.6701,10.3193,10.9851
2015-02-22 12:00:00,4542,West Ham,Tottenham,2,2,10.3278,10.8239,7.6701,8.1744,10.9851,11.4730
2015-02-28 12:45:00,4545,West Ham,Crystal Palace,1,3,10.8239,10.1343,8.1744,8.0933,11.473,10.6750
2015-03-04 19:45:00,4485,West Ham,Chelsea,0,1,10.1343,9.7437,8.0933,7.7227,10.675,10.5145
2015-03-14 15:00:00,4494,West Ham,Arsenal,0,3,9.7437,9.4279,7.7227,7.4773,10.5145,10.8782
2015-03-21 17:30:00,4509,West Ham,Sunderland,1,0,9.4279,9.3669,7.4773,7.2812,10.8782,10.7023
2015-04-04 15:00:00,4442,West Ham,Leicester,1,2,9.3669,9.3651,7.2812,7.1544,10.7023,11.0756
2015-04-11 15:00:00,4454,West Ham,Stoke,1,1,9.3651,9.3265,7.1544,7.1199,11.0756,11.0328
2015-04-19 13:30:00,4466,West Ham,Manchester City,0,2,9.3265,9.3291,7.1199,7.2942,11.0328,11.3638
2015-04-25 15:00:00,4469,West Ham,Queens Park Rangers,0,0,9.3291,9.7138,7.2942,7.3146,11.3638,12.1127
2015-05-02 15:00:00,4404,West Ham,Burnley,1,0,9.7138,9.9338,7.3146,7.9048,12.1127,11.7125
2015-05-09 15:00:00,4411,West Ham,Aston Villa,0,1,9.9338,9.9139,7.9048,7.8557,11.7125,11.9717
2015-05-16 15:00:00,4423,West Ham,Everton,1,2,9.9139,9.8655,7.8557,7.7429,11.9717,12.2377
2015-05-24 15:00:00,4438,West Ham,Newcastle United,0,2,9.8655,9.1852,7.7429,7.2562,12.2377,11.8639
2015-08-09 16:30:00,88,West Ham,Arsenal,2,0,9.1852,9.9042,7.2562,7.2763,11.8639,12.7818
2015-08-15 18:00:00,97,West Ham,Leicester,1,2,9.9042,9.9097,7.2763,7.2078,12.7818,13.1113
2015-08-22 18:00:00,106,West Ham,Bournemouth,3,4,9.9097,9.3995,7.2078,6.6092,13.1113,12.9394
2015-08-29 18:00:00,116,West Ham,Liverpool,3,0,9.3995,10.1377,6.6092,6.7000,12.9394,13.5750
2015-09-14 23:00:00,130,West Ham,Newcastle United,2,0,10.1377,10.5890,6.7,6.9003,13.575,13.7772
2015-09-19 20:30:00,137,West Ham,Manchester City,2,1,10.589,11.5558,6.9003,7.1198,13.7772,15.2414
2015-09-26 18:00:00,147,West Ham,Norwich,2,2,11.5558,11.2013,7.1198,7.0699,15.2414,14.5824
2015-10-03 18:00:00,156,West Ham,Sunderland,2,2,11.2013,10.6886,7.0699,6.7704,14.5824,13.8566
2015-10-17 18:00:00,165,West Ham,Crystal Palace,3,1,10.6886,11.2811,6.7704,7.2828,13.8566,14.0292
2015-10-24 18:00:00,173,West Ham,Chelsea,2,1,11.2811,11.1168,7.2828,6.7778,14.0292,13.9556
2015-10-31 19:00:00,186,West Ham,Watford,0,2,11.1168,10.3310,6.7778,6.2395,13.9556,13.4223
2015-11-07 19:00:00,195,West Ham,Everton,1,1,10.331,9.8721,6.2395,5.6560,13.4223,13.0880
2015-11-22 20:00:00,209,West Ham,Tottenham,1,4,9.8721,9.5180,5.656,5.4508,13.088,13.3351
2015-11-29 18:05:00,218,West Ham,West Bromwich Albion,1,1,9.518,9.3358,5.4508,5.4055,13.3351,13.0160
2015-12-05 19:00:00,226,West Ham,Manchester United,0,0,9.3358,9.9834,5.4055,5.8884,13.016,13.8282
2015-12-12 19:00:00,235,West Ham,Stoke,0,0,9.9834,9.9781,5.8884,5.6980,13.8282,14.0081
2015-12-20 20:00:00,249,West Ham,Swansea,0,0,9.9781,9.7879,5.698,5.3649,14.0081,13.9607
2015-12-26 19:00:00,254,West Ham,Aston Villa,1,1,9.7879,9.7247,5.3649,5.1076,13.9607,14.0916
2015-12-28 21:30:00,268,West Ham,Southampton,2,1,9.7247,9.7035,5.1076,4.9426,14.0916,13.9643
2016-01-02 16:45:00,271,West Ham,Liverpool,2,0,9.7035,10.1209,4.9426,4.9104,13.9643,14.3314
2016-01-12 23:45:00,283,West Ham,Bournemouth,3,1,10.1209,10.9902,4.9104,5.3935,14.3314,15.0869
