<<<<<<< HEAD
Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-XG,Ellenfél-XG,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2017-08-05 19:00:00,8567,(V) Strasbourg,(H) Lyon,0,4,0.292445,1.72783,10,9.1250,10,9.7662,10,9.4838
2017-08-13 14:00:00,8582,(H) Strasbourg,(V) Lille,3,0,3.20079,1.11214,9.125,9.7920,9.7662,10.2054,9.4838,9.6287
2017-08-19 19:00:00,8589,(V) Strasbourg,(H) Montpellier,1,1,0.639177,1.91128,9.792,9.8217,10.2054,9.9171,9.6287,9.9765
2017-08-27 14:00:00,8600,(V) Strasbourg,(H) Guingamp,0,2,0.566048,1.86165,9.8217,9.4385,9.9171,9.7100,9.9765,9.9172
2017-09-09 19:00:00,8611,(H) Strasbourg,(V) Amiens,0,1,0.599748,0.293267,9.4385,8.7502,9.71,9.3483,9.9172,9.1523
2017-09-16 16:00:00,8622,(V) Strasbourg,(H) Monaco,0,3,1.25366,2.74933,8.7502,8.9028,9.3483,9.8770,9.1523,9.6788
2017-09-24 16:00:00,8634,(H) Strasbourg,(V) Nantes,1,2,1.38859,0.572934,8.9028,8.8374,9.877,10.2655,9.6788,9.4095
2017-09-30 19:00:00,8637,(V) Strasbourg,(H) Dijon,1,1,0.668952,1.55525,8.8374,9.0660,10.2655,10.2726,9.4095,9.8597
2017-10-15 20:00:00,8646,(H) Strasbourg,(V) Marseille,3,3,2.02351,3.0641,9.066,9.1991,10.2726,10.1456,9.8597,10.2529
2017-10-22 14:00:00,8660,(V) Strasbourg,(H) Nice,2,1,1.15613,1.8532,9.1991,9.7799,10.1456,10.3021,10.2529,11.0079
2017-10-28 19:00:00,8673,(H) Strasbourg,(V) Angers,2,2,1.62722,0.37517,9.7799,10.0064,10.3021,10.8417,11.0079,10.9214
2017-11-04 19:00:00,8679,(V) Strasbourg,(H) Troyes,0,3,0.886377,2.42579,10.0064,9.0978,10.8417,10.2982,10.9214,10.3977
2017-11-18 19:00:00,8694,(H) Strasbourg,(V) Rennes,2,1,1.40766,0.69636,9.0978,9.2423,10.2982,10.3705,10.3977,10.3644
2017-11-24 19:45:00,8698,(V) Strasbourg,(H) Saint-Etienne,2,2,1.64076,1.27542,9.2423,9.3272,10.3705,10.5468,10.3644,10.3580
2017-11-28 18:00:00,8713,(H) Strasbourg,(V) Caen,0,0,0.223173,2.23402,9.3272,9.0376,10.5468,9.7545,10.358,10.5711
2017-12-02 16:00:00,8716,(H) Strasbourg,(V) Paris Saint Germain,2,1,0.38814,2.27373,9.0376,10.1341,9.7545,10.1297,10.5711,12.1390
2017-12-08 19:45:00,8727,(V) Strasbourg,(H) Bordeaux,3,0,2.17093,0.589571,10.1341,11.1290,10.1297,10.7700,12.139,12.7386
2017-12-16 19:00:00,8743,(H) Strasbourg,(V) Toulouse,2,1,1.72073,1.28316,11.129,10.8882,10.77,10.3886,12.7386,12.3884
2017-12-20 19:50:00,8753,(V) Strasbourg,(H) Metz,0,3,1.82629,2.02724,10.8882,9.5976,10.3886,9.7977,12.3884,11.1480
2018-01-12 19:45:00,8763,(H) Strasbourg,(V) Guingamp,0,2,0.599037,1.07983,9.5976,9.0455,9.7977,9.6254,11.148,10.7161
2018-01-16 18:00:00,8770,(V) Strasbourg,(H) Marseille,0,2,0.116095,3.9304,9.0455,8.9489,9.6254,9.0753,10.7161,11.5731
2018-01-20 19:00:00,8783,(H) Strasbourg,(V) Dijon,3,2,2.6462,1.20844,8.9489,9.2185,9.0753,9.4543,11.5731,11.4833
2018-01-28 00:00:00,8793,(V) Strasbourg,(H) Lille,1,2,0.859116,1.44327,9.2185,9.2417,9.4543,9.5815,11.4833,11.6526
2018-02-03 19:00:00,8802,(H) Strasbourg,(V) Bordeaux,0,2,0.308349,0.838239,9.2417,8.6536,9.5815,9.3609,11.6526,11.1969
2018-02-11 14:00:00,8807,(H) Strasbourg,(V) Troyes,2,1,0.9565,1.6317,8.6536,8.7458,9.3609,9.0343,11.1969,11.4579
2018-02-17 16:00:00,8821,(V) Strasbourg,(H) Paris Saint Germain,2,5,0.536092,4.62554,8.7458,9.1423,9.0343,9.1584,11.4579,12.8768
2018-02-23 19:45:00,8826,(H) Strasbourg,(V) Montpellier,0,0,0.366466,0.617321,9.1423,9.4630,9.1584,9.4164,12.8768,13.2602
2018-03-04 14:00:00,8838,(V) Strasbourg,(H) Caen,0,2,0.866851,1.08261,9.463,9.1127,9.4164,9.5122,13.2602,12.9639
2018-03-09 19:45:00,8853,(H) Strasbourg,(V) Monaco,1,3,1.40419,0.997136,9.1127,9.1474,9.5122,10.1487,12.9639,12.8969
2018-03-17 19:00:00,8864,(V) Strasbourg,(H) Toulouse,2,2,0.938237,1.81322,9.1474,9.6480,10.1487,10.4306,12.8969,13.6163
2018-04-01 16:00:00,8873,(H) Strasbourg,(V) Metz,2,2,2.17501,1.6647,9.648,9.4872,10.4306,10.3974,13.6163,13.3280
2018-04-07 18:00:00,8883,(V) Strasbourg,(H) Angers,1,1,1.44922,0.907186,9.4872,9.9288,10.3974,10.9745,13.328,13.6341
2018-04-14 18:00:00,8892,(H) Strasbourg,(V) Saint-Etienne,0,1,1.49267,0.240852,9.9288,9.9311,10.9745,11.5398,13.6341,13.3234
2018-04-21 18:00:00,8904,(V) Strasbourg,(H) Amiens,1,3,2.02481,0.787495,9.9311,9.5879,11.5398,12.0060,13.3234,12.6709
2018-04-28 18:00:00,8914,(H) Strasbourg,(V) Nice,1,1,0.672952,1.13928,9.5879,9.8079,12.006,12.1095,12.6709,13.0075
2018-05-06 16:00:00,8922,(V) Strasbourg,(H) Rennes,1,2,1.01751,2.36718,9.8079,9.8256,12.1095,12.0398,13.0075,13.3626
2018-05-12 20:00:00,8930,(H) Strasbourg,(V) Lyon,3,2,0.820059,1.26374,9.8256,10.5508,12.0398,12.4041,13.3626,14.1987
2018-05-19 19:00:00,8943,(V) Strasbourg,(H) Nantes,0,1,0.342744,0.809802,10.5508,10.3214,12.4041,12.3079,14.1987,14.0860
2018-08-12 18:00:00,10651,(V) Strasbourg,(H) Bordeaux,2,0,1.32715,0.0853905,10.3214,11.1892,12.3079,12.9862,14.086,14.6434
2018-08-19 16:00:00,10660,(H) Strasbourg,(V) Saint-Etienne,1,1,0.626045,0.329551,11.1892,11.0610,12.9862,12.9321,14.6434,14.4411
2018-08-24 21:45:00,10663,(V) Strasbourg,(H) Lyon,0,2,0.393592,1.24291,11.061,10.6986,12.9321,12.8573,14.4411,14.2910
2018-09-01 18:00:00,10679,(H) Strasbourg,(V) Nantes,2,3,1.42569,1.29618,10.6986,9.7986,12.8573,12.2397,14.291,13.3586
2018-09-15 18:00:00,10688,(V) Strasbourg,(H) Montpellier,1,1,0.756661,0.344069,9.7986,9.8154,12.2397,12.3596,13.3586,13.2722
2018-09-22 18:00:00,10701,(H) Strasbourg,(V) Amiens,3,1,1.07472,0.672883,9.8154,10.4956,12.3596,12.6403,13.2722,13.8520
2018-09-26 17:00:00,10707,(V) Strasbourg,(H) Marseille,2,3,0.81086,1.27899,10.4956,10.6835,12.6403,12.9612,13.852,14.1570
2018-09-29 18:00:00,10721,(H) Strasbourg,(V) Dijon,3,0,0.748818,1.0504,10.6835,11.0263,12.9612,12.4786,14.157,14.5752
2018-10-06 18:00:00,10724,(V) Strasbourg,(H) Angers,2,2,1.30474,2.15923,11.0263,11.2582,12.4786,12.4969,14.5752,15.0207
2018-10-20 18:00:00,10742,(H) Strasbourg,(V) Monaco,2,1,0.819667,1.35931,11.2582,10.9565,12.4969,11.8102,15.0207,14.8539
2018-10-27 18:00:00,10746,(V) Strasbourg,(H) Guingamp,1,1,1.33564,1.20639,10.9565,10.7569,11.8102,11.6429,14.8539,14.6220
2018-11-03 19:00:00,10762,(H) Strasbourg,(V) Toulouse,1,1,1.10891,1.10788,10.7569,10.1309,11.6429,11.0171,14.622,13.9957
2018-11-09 19:45:00,10771,(V) Strasbourg,(H) Lille,0,0,0.137134,1.30563,10.1309,10.2783,11.0171,10.8724,13.9957,14.4352
2018-11-24 19:00:00,10782,(H) Strasbourg,(V) Nimes,0,1,0.726506,1.10329,10.2783,9.9586,10.8724,10.7085,14.4352,14.2097
